PRICE,BEDS,BATH,PROPERTYSQ,LATITUDE,LONGITUDE,LOG-PRICE,LOG-PROPER,SUBLOCALIT,TYPE,BOROUGH,TYPE-GROUP,RESIDUALS,Y-HAT,geometry,RESIDUALS_SAR
154900,1,1.0,700.0,40.8646563,-73.9082145,11.95053502640496,6.551080335043404,The Bronx,Co-op for sale,BRONX,CONDO_COOP,-0.360720457110768,12.311255483515728,"POLYGON ((-73.91566012353627 40.863343847239435, -73.91272504091354 40.8667986322019, -73.90891089241254 40.86637317578037, -73.90768832774275 40.86487418205761, -73.91050770538742 40.85885379830258, -73.91365012557924 40.85974465753788, -73.9155692284322 40.8612619337325, -73.91566012353627 40.863343847239435))",-0.5810079782834559
375000,1,1.0,2184.207862,40.7467824,-73.9119505,12.834681304952548,7.689008507244378,Queens,Co-op for sale,QUEENS,CONDO_COOP,-0.330428601446451,13.165109906399,"POLYGON ((-73.91242800025273 40.750306528339216, -73.90846247525796 40.74757056526645, -73.91018776603973 40.74546347929841, -73.91430698984512 40.74538443041118, -73.91501234011268 40.746384664273755, -73.91242800025273 40.750306528339216))",-0.7494963066673925
1399000,4,3.0,2283.0,40.7580197,-73.9140215,14.151268253647618,7.733245646529796,Queens County,Multi-family home for sale,QUEENS,MULTI_FAMILY,0.431462200277469,13.71980605337015,"POLYGON ((-73.91172473435157 40.76271108831862, -73.91306010827624 40.75663358946748, -73.91739899510988 40.75607434088343, -73.91384117315019 40.76220717817327, -73.91172473435157 40.76271108831862))",0.11466805494030399
690000,3,2.0,1325.0,40.6173476,-73.9131449,13.444446876573442,7.189167738420324,Kings County,House for sale,BROOKLYN,HOUSE,-0.352103559730716,13.796550436304157,"POLYGON ((-73.9139593958459 40.613149332864644, -73.91478098221134 40.614916668165236, -73.91595244148454 40.62066209620612, -73.9139923002394 40.62079128528801, -73.91080673177822 40.61550847522287, -73.9109025882181 40.615303938869495, -73.91357010772566 40.61321735111606, -73.91390757951832 40.61309086946409, -73.9139593958459 40.613149332864644))",-0.068605249828574
1249000,3,2.373860857968437,2184.207862,40.8822913,-73.9137305,14.037853789107714,7.689008507244378,Bronx County,House for sale,BRONX,HOUSE,0.440765714540188,13.597088074567527,"POLYGON ((-73.91407545782968 40.88299257447068, -73.91317130012852 40.88345521363365, -73.91269874348414 40.883362297465204, -73.91229219307907 40.88164591582964, -73.91373690395575 40.88028148182491, -73.91472766719382 40.88150079725062, -73.91407545782968 40.88299257447068))",0.6245191263671186
385000,2,2.0,1100.0,40.8827696,-73.9148245,12.86099861326992,7.003065458786462,The Bronx,Co-op for sale,BRONX,CONDO_COOP,0.144989786781469,12.716008826488451,"POLYGON ((-73.91472766719382 40.88150079725062, -73.91585362575005 40.88197699593913, -73.9155046514099 40.88359070685512, -73.91407545782968 40.88299257447068, -73.91472766719382 40.88150079725062))",-0.30117123234562
1359000,11,6.0,2240.0,40.6941915,-73.913053,14.12225969313328,7.714231144849086,Kings County,Multi-family home for sale,BROOKLYN,MULTI_FAMILY,-0.362425193219563,14.484684886352843,"POLYGON ((-73.91650047541843 40.69492000686823, -73.9164327643103 40.6978414986053, -73.91434484265626 40.698684715428406, -73.91154347610198 40.69335477456856, -73.91527173512998 40.69373488265825, -73.91650047541843 40.69492000686823))",-0.29502980507625554
1075000,2,2.0,1144.0,40.6912454,-73.9154184,13.8878312195439,7.042286171939744,Brooklyn,Condo for sale,BROOKLYN,CONDO_COOP,0.609254431790022,13.278576787753877,"POLYGON ((-73.91449342168195 40.692306443777824, -73.9141399213545 40.69181258530845, -73.91365911704477 40.69027424350975, -73.91634056952539 40.69064856176739, -73.91449342168195 40.692306443777824))",0.33390681844160386
898000,1,2.0,1340.0,40.6928399,-73.9131908,13.707925347284336,7.200424892944958,Brooklyn,Condo for sale,BROOKLYN,CONDO_COOP,0.338851634041633,13.369073713242702,"POLYGON ((-73.91527173512998 40.69373488265825, -73.91154347610198 40.69335477456856, -73.91146936938017 40.6932945585007, -73.9141399213545 40.69181258530845, -73.91449342168195 40.692306443777824, -73.91527173512998 40.69373488265825))",0.017480531325072046
185000,1,1.0,2184.207862,40.684563,-73.914482,12.128111104060462,7.689008507244378,Brooklyn,Co-op for sale,BROOKLYN,CONDO_COOP,-1.374461874189965,13.502572978250427,"POLYGON ((-73.91752384697566 40.68541015587325, -73.91506591906594 40.68694449498085, -73.91463238822134 40.68660905226321, -73.91353280683558 40.68431858239466, -73.9137150528215 40.68425289519765, -73.91714967115959 40.68486428788247, -73.91752384697566 40.68541015587325))",-1.536136535552515
